Resource,"Number of variants","Storage size (GB)","URL"
SBayesR,2189512,18.3,"https://zenodo.org/record/3350914"
LDpred2,1054330,8.92,"https://figshare.com/articles/dataset/European_LD_reference/13034123"
PRScs,1117425,6.15,"https://github.com/getian107/PRScs"
VIPRS(v0.0.4),1092948,20.2,"https://zenodo.org/records/7036625"
VIPRS(v0.1)-int8,1092948,0.37,""
VIPRS(v0.1)-int16,1092948,1.5,""
VIPRS(v0.1)-fp32,1092948,3.65,""
VIPRS(v0.1)-fp64,1092948,7.7,""
#PolyFun/LDstore,19465724,3118.64,s3://broad-alkesgroup-ukbb-ld/UKBB_LD/
